Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,County,5127,Arkansas:Scott,,Totals,Overall,6,6,2153,32992,6.53,1.32,0.46,153,7.11,-1.67,0.19
2019,County,5129,Arkansas:Searcy,,Totals,Overall,15,13,1909,48045,3.97,-1.85,-0.19,40,2.1,-2.87,-0.98
2019,County,5131,Arkansas:Sebastian,,Totals,Overall,618,468,56189,1170528,4.8,-1.62,-0.48,4559,8.11,0.79,1.39
2019,County,5133,Arkansas:Sevier,,Totals,Overall,32,25,3595,74891,4.8,-1.97,-0.61,,,,
2019,County,5135,Arkansas:Sharp,,Totals,Overall,34,30,4695,133545,3.52,-2.5,-0.35,267,5.69,-1.18,-0.63
2019,County,5137,Arkansas:Stone,,Totals,Overall,24,22,5195,95167,5.46,-0.86,-0.79,350,6.74,-3.02,-0.43
2019,County,5139,Arkansas:Union,,Totals,Overall,125,93,17535,322124,5.44,-0.47,0.12,981,5.59,-0.5,-1.11
2019,County,5141,Arkansas:Van Buren,,Totals,Overall,30,27,3285,92076,3.57,-0.96,-0.74,104,3.17,-3.42,-1.99
2019,County,5143,Arkansas:Washington,,Totals,Overall,869,614,82562,1094158,7.55,-1.38,-1.18,12248,14.83,-1.88,-3.27
2019,County,5145,Arkansas:White,,Totals,Overall,269,209,16938,524982,3.23,-1.31,-0.29,788,4.65,-2.26,0.41
2019,County,5147,Arkansas:Woodruff,,Totals,Overall,9,7,987,36174,2.73,-1.78,0,50,5.07,-0.92,-1.87
