state,Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,state,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg,range_category,2017_age_adjusted_rate,2017_num_deaths,Normalized_Death_Rate,Normalized_Long-Acting_Rate,Normalized_Tot_Opioid_Clms
Alabama,2017,State,1.0,Alabama,,Totals,Overall,14415.0,9932.0,2051853.0,28457799.0,7.21,,-0.26,191462.0,9.33,,-0.63,16.1 to 18.5,18.0,835,17.13001124631397,3927.8397763374433,42093.73049794378
Alaska,2017,State,2.0,Alaska,,Totals,Overall,2461.0,1831.0,78398.0,1227513.0,6.39,,-0.55,15157.0,19.33,,0.04,18.6 to 21.0,20.2,147,19.872921454643773,2049.0739488982017,10598.621062592943
Arizona,2017,State,4.0,Arizona,,Totals,Overall,22950.0,17110.0,1552551.0,25057852.0,6.2,,-0.39,244929.0,15.78,,-0.58,21.1 to 57.0,22.2,"1,532",21.74898154573362,3477.1255228557375,22040.73305992838
Arkansas,2017,State,5.0,Arkansas,,Totals,Overall,8989.0,7079.0,1130357.0,18228050.0,6.2,,-0.19,107547.0,9.51,,-0.29,13.6 to 16.0,15.5,446,14.860004431346612,3583.2934900852783,37661.68167938041
California,2017,State,6.0,California,,Totals,Overall,119832.0,83794.0,6809889.0,139049933.0,4.9,,-0.17,807153.0,11.85,,-0.52,11.1 to 13.5,11.7,"4,868",12.368358476696912,2050.7719082870462,17302.207957788632
Colorado,2017,State,8.0,Colorado,,Totals,Overall,20053.0,15291.0,1127939.0,16928325.0,6.66,,-0.45,171282.0,15.19,,-0.77,16.1 to 18.5,17.6,"1,015",18.08661439070829,3052.1295429254164,20099.111082996176
Connecticut,2017,State,9.0,Connecticut,,Totals,Overall,17452.0,11657.0,641082.0,16625633.0,3.86,,-0.28,102513.0,15.99,,-0.76,21.1 to 57.0,30.9,"1,072",30.000305040415054,2868.863125567228,17940.910033506872
Delaware,2017,State,10.0,Delaware,,Totals,Overall,3525.0,2612.0,222382.0,4049166.0,5.49,,-0.52,43674.0,19.64,,0.52,21.1 to 57.0,37.0,338,35.32523779215173,4564.48057791253,23241.707191403217
Florida,2017,State,12.0,Florida,,Totals,Overall,70945.0,44994.0,5563661.0,107515188.0,5.17,,-0.04,775968.0,13.95,,-0.32,21.1 to 57.0,25.1,"5,088",732.1853603221155,111665.17485818226,800635.0499204209
Georgia,2017,State,13.0,Georgia,,Totals,Overall,29439.0,21545.0,2783756.0,48296702.0,5.76,,-0.21,296460.0,10.65,,0.08,13.6 to 16.0,14.7,"1,537",7.331751449523516,1414.1646289692526,13278.98964744293
Hawaii,2017,State,15.0,Hawaii,,Totals,Overall,4278.0,2913.0,155385.0,4028031.0,3.86,,0.01,21270.0,13.69,,-0.37,13.6 to 16.0,13.8,203,1.9499862156146825,204.3162896853414,1492.603980853633
Idaho,2017,State,16.0,Idaho,,Totals,Overall,5313.0,4167.0,439991.0,6271397.0,7.02,,-0.3,70992.0,16.13,,-0.63,13.6 to 16.0,14.4,236,16.568461091847546,4984.017753527292,30889.719340097854
Illinois,2017,State,17.0,Illinois,,Totals,Overall,46798.0,33519.0,2342537.0,52029841.0,4.5,,-0.18,235390.0,10.05,,-0.48,21.1 to 57.0,21.6,"2,778",161.7264796546575,13703.670282904906,136375.1844747237
Indiana,2017,State,18.0,Indiana,,Totals,Overall,21829.0,16447.0,1999694.0,34301941.0,5.83,,-0.3,230251.0,11.51,,-0.84,21.1 to 57.0,29.4,"1,852",14.492721867764399,1801.8162541979593,15648.492960387292
Iowa,2017,State,19.0,Iowa,,Totals,Overall,10773.0,8054.0,724692.0,16885168.0,4.29,,-0.24,98706.0,13.62,,-0.46,11.1 to 13.5,11.5,341,5.121598154902961,1482.4999046271312,10884.40237558046
Kansas,2017,State,20.0,Kansas,,Totals,Overall,10019.0,7581.0,817382.0,14198143.0,5.76,,-0.15,117592.0,14.39,,-0.48,11.1 to 13.5,11.8,333,10.599863124890579,3743.1204341805797,26018.430392640574
Kentucky,2017,State,21.0,Kentucky,,Totals,Overall,16154.0,10386.0,1649819.0,31027472.0,5.32,,-0.19,130636.0,7.92,,-0.57,21.1 to 57.0,37.2,"1,566",53.83815137802977,4491.1882141892065,56719.79889422075
